6887|2015-06-11 23:19:55|TOF1|RefRun w/o DS|null|solenoid|unknown|23089|2015-06-11 23:35:59|
6888|2015-06-11 23:46:27|TOF1|Individual Settings|null|solenoid|unknown|50247|2015-06-12 00:24:30|
6889|2015-06-12 00:32:23|TOF1|Individual Settings|null|solenoid|unknown|11385|2015-06-12 00:41:12|
6890|2015-06-12 00:43:31|TOF1|Individual Settings|null|solenoid|unknown|20976|2015-06-12 00:59:30|
6891|2015-06-12 01:17:50|TOF1|Individual Settings|null|solenoid|unknown|11036|2015-06-12 01:26:00|
6892|2015-06-12 01:30:05|TOF1|Individual Settings|null|solenoid|unknown|9381|2015-06-12 01:37:01|
6893|2015-06-12 01:42:39|TOF1|Individual Settings|null|solenoid|unknown|7504|2015-06-12 01:47:58|
6894|2015-06-12 01:59:27|TOF1|Individual Settings|null|solenoid|unknown|760|2015-06-12 01:59:50|
6895|2015-06-12 02:01:42|TOF1|Individual Settings|null|solenoid|unknown|7666|2015-06-12 02:07:18|
6896|2015-06-12 02:36:52|TOF1|Individual Settings|null|solenoid|unknown|100585|2015-06-12 03:37:02|
6953|2015-06-15 23:07:33|TOF1|RefRun w/o DS|null|solenoid|unknown|5755|2015-06-15 23:12:34|
6954|2015-06-15 23:35:58|TOF1|Individual Settings|null|solenoid|unknown|4335|2015-06-15 23:39:41|
6955|2015-06-15 23:41:24|TOF1|Individual Settings|null|solenoid|unknown|2616|2015-06-15 23:43:51|
6956|2015-06-15 23:46:02|TOF1|Individual Settings|null|solenoid|unknown|2637|2015-06-15 23:48:33|
6957|2015-06-15 23:51:31|TOF1|Individual Settings|null|solenoid|unknown|2965|2015-06-15 23:54:11|
6958|2015-06-15 23:56:18|TOF1|Individual Settings|null|solenoid|unknown|2779|2015-06-15 23:58:22|
6959|2015-06-16 00:01:25|TOF1|Individual Settings|null|solenoid|unknown|2869|2015-06-16 00:04:11|
6960|2015-06-16 00:05:45|TOF1|Individual Settings|null|solenoid|unknown|2892|2015-06-16 00:08:19|
6961|2015-06-16 00:11:07|TOF1|Individual Settings|null|solenoid|unknown|5804|2015-06-16 00:16:08|
6962|2015-06-16 00:19:40|TOF1|Individual Settings|null|solenoid|unknown|3172|2015-06-16 00:22:25|
6963|2015-06-16 00:26:37|TOF1|Individual Settings|null|solenoid|unknown|2261|2015-06-16 00:28:50|
6964|2015-06-16 00:31:10|TOF1|Individual Settings|null|solenoid|unknown|23805|2015-06-16 00:49:24|
6965|2015-06-16 00:58:04|TOF1|Individual Settings|null|solenoid|unknown|15301|2015-06-16 01:11:57|
